3976,0.08535009,-0.56153278,0.73762235,-0.36511399,0.06342256,-0.00432260,-0.03876730
3989,0.66386556,-0.24229238,0.66792969,0.23334305,0.06342256,-0.00432260,-0.03876730
3995,0.66351075,-0.24236145,0.66778712,0.23468451,0.06342256,-0.00432260,-0.03876730
4002,0.66359906,-0.24287290,0.66746001,0.23483633,0.06342256,-0.00432260,-0.03876730
4011,0.66136837,-0.24665858,0.66712265,0.23811795,0.06342256,-0.00432260,-0.03876730
4017,0.66274299,-0.24333424,0.66751060,0.23662559,0.06342256,-0.00432260,-0.03876730
4026,0.65837817,-0.25806994,0.66109008,0.25079452,0.06342256,-0.00432260,-0.03876730
4033,0.66296854,-0.24421057,0.66758370,0.23487827,0.06342256,-0.00432260,-0.03876730
4041,0.66192646,-0.24628806,0.66658091,0.23846819,0.06342256,-0.00432260,-0.03876730
4050,0.66464862,-0.24139235,0.66775617,0.23254187,0.06342256,-0.00432260,-0.03876730
4056,0.66200213,-0.24525752,0.66736578,0.23712046,0.06342256,-0.00432260,-0.03876730
4063,0.66200990,-0.24809877,0.66554393,0.23925385,0.06342256,-0.00432260,-0.03876730
4072,0.66225199,-0.24638268,0.66637187,0.23805019,0.06342256,-0.00432260,-0.03876730
4079,0.66059827,-0.24733343,0.66727118,0.23913674,0.06342256,-0.00432260,-0.03876730
4085,0.66565542,-0.23586490,0.67078895,0.22652969,0.06342256,-0.00432260,-0.03876730
4092,0.66261124,-0.24326238,0.66810798,0.23537864,0.06342256,-0.00432260,-0.03876730
4098,0.66418666,-0.23873398,0.66957955,0.23136112,0.06342256,-0.00432260,-0.03876730
4107,0.66128101,-0.24813446,0.66611008,0.23965702,0.06342256,-0.00432260,-0.03876730
4114,0.66214413,-0.24579958,0.66729664,0.23635649,0.06342256,-0.00432260,-0.03876730
4123,0.66355943,-0.24594097,0.66533575,0.23776478,0.06342256,-0.00432260,-0.03876730
4130,0.65917563,-0.25585141,0.66277303,0.24649457,0.06342256,-0.00432260,-0.03876730
4139,0.66196627,-0.24946751,0.66475410,0.24014520,0.06342256,-0.00432260,-0.03876730
4145,0.66284103,-0.24657063,0.66580777,0.23779454,0.06342256,-0.00432260,-0.03876730
4151,0.66530904,-0.23593204,0.67112689,0.22647643,0.06342256,-0.00432260,-0.03876730
4161,0.66281070,-0.24579448,0.66623730,0.23747940,0.06342256,-0.00432260,-0.03876730
4167,0.66162443,-0.24640574,0.66682429,0.23850429,0.06342256,-0.00432260,-0.03876730
4177,0.66070604,-0.24952309,0.66516900,0.24239840,0.06342256,-0.00432260,-0.03876730
4184,0.65914831,-0.25393280,0.66353802,0.24649384,0.06342256,-0.00432260,-0.03876730
4193,0.66216764,-0.24485981,0.66690082,0.23837485,0.06342256,-0.00432260,-0.03876730
4199,0.66680006,-0.23351755,0.67110023,0.22466590,0.06342256,-0.00432260,-0.03876730
4209,0.66224713,-0.24577183,0.66690664,0.23719646,0.06342256,-0.00432260,-0.03876730
4215,0.66191577,-0.24486157,0.66760158,0.23710765,0.06342256,-0.00432260,-0.03876730
4222,0.66877946,-0.22610764,0.67363882,0.21868767,0.06342256,-0.00432260,-0.03876730
4228,0.66076183,-0.24974393,0.66549534,0.24112014,0.06342256,-0.00432260,-0.03876730
4235,0.66460247,-0.24060482,0.66819534,0.23222842,0.06342256,-0.00432260,-0.03876730
4243,0.66282577,-0.24457967,0.66739168,0.23544178,0.06342256,-0.00432260,-0.03876730
4251,0.66326436,-0.24431695,0.66653485,0.23690254,0.06342256,-0.00432260,-0.03876730
4257,0.66214027,-0.24634797,0.66618943,0.23890609,0.06342256,-0.00432260,-0.03876730
4266,0.66358232,-0.24082400,0.66888422,0.23293485,0.06342256,-0.00432260,-0.03876730
4273,0.66361188,-0.24052174,0.66826052,0.23494429,0.06342256,-0.00432260,-0.03876730
4280,0.66329760,-0.24265270,0.66738057,0.23613765,0.06342256,-0.00432260,-0.03876730
4286,0.66045818,-0.25247001,0.66363930,0.24420723,0.06342256,-0.00432260,-0.03876730
4295,0.66529121,-0.23705537,0.66992626,0.22889730,0.06342256,-0.00432260,-0.03876730
4304,0.66179823,-0.24846806,0.66510400,0.24067485,0.06342256,-0.00432260,-0.03876730
4311,0.66210632,-0.24548392,0.66714215,0.23722503,0.06342256,-0.00432260,-0.03876730
4317,0.66112971,-0.24936497,0.66550278,0.24048223,0.06342256,-0.00432260,-0.03876730
4323,0.66344475,-0.24299697,0.66736469,0.23541448,0.06342256,-0.00432260,-0.03876730
4332,0.66403059,-0.23946781,0.66942300,0.23150334,0.06342256,-0.00432260,-0.03876730
4340,0.66080212,-0.24941296,0.66538281,0.24166224,0.06342256,-0.00432260,-0.03876730
4346,0.66123080,-0.24866654,0.66546769,0.24102439,0.06342256,-0.00432260,-0.03876730
4353,0.66614255,-0.23277344,0.67197508,0.22477397,0.06342256,-0.00432260,-0.03876730
4359,0.66123294,-0.24828395,0.66574115,0.24065768,0.06342256,-0.00432260,-0.03876730
4368,0.66369557,-0.24410746,0.66692948,0.23479082,0.06342256,-0.00432260,-0.03876730
4374,0.66175460,-0.24637088,0.66664009,0.23869347,0.06342256,-0.00432260,-0.03876730
4386,0.66316933,-0.24155020,0.66823501,0.23521010,0.06342256,-0.00432260,-0.03876730
4392,0.66355686,-0.24358670,0.66739673,0.23439574,0.06342256,-0.00432260,-0.03876730
4401,0.65996460,-0.25338554,0.66391839,0.24383530,0.06342256,-0.00432260,-0.03876730
4408,0.66492900,-0.23755686,0.66999235,0.22923574,0.06342256,-0.00432260,-0.03876730
4415,0.66232652,-0.24460749,0.66738634,0.23682882,0.06342256,-0.00432260,-0.03876730
4421,0.66016025,-0.25170979,0.66487498,0.24243090,0.06342256,-0.00432260,-0.03876730
4430,0.66036996,-0.25177593,0.66464977,0.24240846,0.06342256,-0.00432260,-0.03876730
4439,0.66340408,-0.24188721,0.66798229,0.23492014,0.06342256,-0.00432260,-0.03876730
4446,0.65919084,-0.25372364,0.66415672,0.24492452,0.06342256,-0.00432260,-0.03876730
4452,0.65971107,-0.25552024,0.66237716,0.24647011,0.06342256,-0.00432260,-0.03876730
4458,0.66453576,-0.23964328,0.66942119,0.22987194,0.06342256,-0.00432260,-0.03876730
4467,0.66661863,-0.23393814,0.67034683,0.22700390,0.06342256,-0.00432260,-0.03876730
4475,0.66206579,-0.24499075,0.66730642,0.23738636,0.06342256,-0.00432260,-0.03876730
4481,0.66572804,-0.23588128,0.67090711,0.22594890,0.06342256,-0.00432260,-0.03876730
4488,0.66369814,-0.24169468,0.66816596,0.23376221,0.06342256,-0.00432260,-0.03876730
4494,0.66032676,-0.25050652,0.66573867,0.24084820,0.06342256,-0.00432260,-0.03876730
4504,0.66378636,-0.24129829,0.66799173,0.23441810,0.06342256,-0.00432260,-0.03876730
4510,0.66018967,-0.24956588,0.66614351,0.24108166,0.06342256,-0.00432260,-0.03876730
4519,0.66144523,-0.24923942,0.66501989,0.24107983,0.06342256,-0.00432260,-0.03876730
4526,0.66257386,-0.24487524,0.66681785,0.23746054,0.06342256,-0.00432260,-0.03876730
4535,0.66091322,-0.24872472,0.66567592,0.24125983,0.06342256,-0.00432260,-0.03876730
4541,0.65990519,-0.25081350,0.66541109,0.24258320,0.06342256,-0.00432260,-0.03876730
4550,0.66195230,-0.24780473,0.66543874,0.24000909,0.06342256,-0.00432260,-0.03876730
4556,0.66403179,-0.24086778,0.66859245,0.23244507,0.06342256,-0.00432260,-0.03876730
4566,0.66371846,-0.24209942,0.66791777,0.23399426,0.06342256,-0.00432260,-0.03876730
4573,0.66304974,-0.24671735,0.66500806,0.23929355,0.06342256,-0.00432260,-0.03876730
4579,0.66247425,-0.24588820,0.66612329,0.23863794,0.06342256,-0.00432260,-0.03876730
4587,0.66116304,-0.24633610,0.66720366,0.23879418,0.06342256,-0.00432260,-0.03876730
4594,0.66122221,-0.24999501,0.66504888,0.24082918,0.06342256,-0.00432260,-0.03876730
4602,0.66479659,-0.23876838,0.66943225,0.22999582,0.06342256,-0.00432260,-0.03876730
4610,0.66477117,-0.24007387,0.66857891,0.23118913,0.06342256,-0.00432260,-0.03876730
4619,0.66420946,-0.24112215,0.66822319,0.23273572,0.06342256,-0.00432260,-0.03876730
4625,0.66693167,-0.23272845,0.67093968,0.22557244,0.06342256,-0.00432260,-0.03876730
