Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
10.06,0,0.229533282,0.229533282,0.229533282,0.229533282,0.229533282,0,0,0,0,10.09765287,57.5566788,56.32871658,583370200
10.07,0,0.22950088,0.22950088,0.22950088,0.22950088,0.22950088,0,0,0,0,10.09220389,57.54660549,56.32029572,583950000
10.08,0,0.229468577,0.229468577,0.229468577,0.229468577,0.229468577,0,0,0,0,10.08676542,57.53653542,56.31188042,584529900
10.09,0,0.229436342,0.229436342,0.229436342,0.229436342,0.229436342,0,0,0,0,10.08133599,57.52646203,56.30346544,585109800
10.1,0,0.229404194,0.229404194,0.229404194,0.229404194,0.229404194,0,0,0,0,10.07591591,57.51639587,56.29505894,585689700
10.11,0,0.229372134,0.229372134,0.229372134,0.229372134,0.229372134,0,0,0,0,10.07050575,57.50633578,56.28666011,586269600
10.12,0,0.229340132,0.229340132,0.229340132,0.229340132,0.229340132,0,0,0,0,10.06510496,57.49627528,56.27826389,586849500
10.13,0,0.229308229,0.229308229,0.229308229,0.229308229,0.229308229,0,0,0,0,10.05971478,57.48622132,56.26987576,587429400
10.14,0,0.229276403,0.229276403,0.229276403,0.229276403,0.229276403,0,0,0,0,10.05433244,57.47616513,56.26148866,588009300
10.15,0,0.229244635,0.229244635,0.229244635,0.229244635,0.229244635,0,0,0,0,10.04896113,57.4661143,56.25310879,588589100
10.16,0,0.229212965,0.229212965,0.229212965,0.229212965,0.229212965,0,0,0,0,10.04359906,57.45606809,56.24473538,589169000
10.17,0,0.229181363,0.229181363,0.229181363,0.229181363,0.229181363,0,0,0,0,10.03824603,57.44601738,56.23636138,589748900
10.18,0,0.229149858,0.229149858,0.229149858,0.229149858,0.229149858,0,0,0,0,10.03290226,57.43596718,56.22799069,590328800
10.19,0,0.229118422,0.229118422,0.229118422,0.229118422,0.229118422,0,0,0,0,10.02756845,57.42592873,56.21963201,590908700
10.2,0,0.229087054,0.229087054,0.229087054,0.229087054,0.229087054,0,0,0,0,10.02224244,57.41588283,56.21127033,591488600
10.21,0,0.229055773,0.229055773,0.229055773,0.229055773,0.229055773,0,0,0,0,10.0169279,57.40585608,56.20292654,592068500
10.22,0,0.22902457,0.22902457,0.22902457,0.22902457,0.22902457,0,0,0,0,10.01162133,57.39581655,56.19457567,592648400
10.23,0,0.228993436,0.228993436,0.228993436,0.228993436,0.228993436,0,0,0,0,10.0063248,57.38578636,56.18623497,593228300
10.24,0,0.228962388,0.228962388,0.228962388,0.228962388,0.228962388,0,0,0,0,10.00103734,57.37575473,56.17789604,593808200
10.25,0,0.228931409,0.228931409,0.228931409,0.228931409,0.228931409,0,0,0,0,9.995759628,57.36573314,56.16956777,594388100
10.26,0,0.228900507,0.228900507,0.228900507,0.228900507,0.228900507,0,0,0,0,9.990490056,57.35570745,56.16123912,594968000
10.27,0,0.228869673,0.228869673,0.228869673,0.228869673,0.228869673,0,0,0,0,9.985230534,57.34568965,56.15291952,595547900
10.28,0,0.228838928,0.228838928,0.228838928,0.228838928,0.228838928,0,0,0,0,9.979981065,57.33567426,56.14460476,596127700
10.29,0,0.22880826,0.22880826,0.22880826,0.22880826,0.22880826,0,0,0,0,9.974739357,57.32565712,56.13629137,596707600
