0,0,0,0,0,0,0
0.004,-5.91435022512556e-05,3.81532408132224e-05,1.90755992664348e-05,-9.21523663963013,2.17751372488806e-15,-3.35407183854467
0.008,-5.91435022512556e-05,3.8153236311631e-05,1.90756082700969e-05,-9.21523663963145,5.04638805742807e-12,-3.35407183854104
0.012,-5.91435022512556e-05,3.81532318100375e-05,1.90756172737578e-05,-9.21523663963273,1.01287050913168e-11,-3.35407183853752
0.016,-5.91435022512556e-05,3.81532273084419e-05,1.90756262774178e-05,-9.21523663963397,1.52491286153911e-11,-3.35407183853411
0.02,-5.91435022512556e-05,3.81532228068441e-05,1.90756352810766e-05,-9.21523663963517,2.04065698727884e-11,-3.35407183853081
0.024,-5.91435022512556e-05,3.81532183052442e-05,1.90756442847344e-05,-9.21523663963633,2.56010288635089e-11,-3.35407183852763
0.028,-5.91435022512556e-05,3.81532138036422e-05,1.90756532883911e-05,-9.21523663963745,3.08341387228461e-11,-3.35407183852455
0.032,-5.91435022512556e-05,3.81532093020381e-05,1.90756622920468e-05,-9.21523663963853,3.61037219370752e-11,-3.35407183852159
0.036,-5.91435022512556e-05,3.81532048004319e-05,1.90756712957014e-05,-9.21523663963957,4.14114116414899e-11,-3.35407183851873
0.04,-5.91435022512556e-05,3.81532002988235e-05,1.9075680299355e-05,-9.21523663964057,4.67523084302091e-11,-3.35407183851599
0.044,-5.91435022512556e-05,3.8153195797213e-05,1.90756893030074e-05,-9.21523663964152,5.21351223581323e-11,-3.35407183851336
0.048,-5.91435022512556e-05,3.81531912956004e-05,1.90756983066589e-05,-9.21523663964244,5.75538652625163e-11,-3.35407183851084
0.052,-5.91435022512556e-05,3.81531867939857e-05,1.90757073103092e-05,-9.21523663964332,6.30085371433609e-11,-3.35407183850843
0.056,-5.91435022512556e-05,3.81531822923688e-05,1.90757163139585e-05,-9.21523663964416,6.84996823790973e-11,-3.35407183850613
0.06,-5.91435022512556e-05,3.81531777907498e-05,1.90757253176067e-05,-9.21523663964495,7.40283897265881e-11,-3.35407183850395
0.064,-5.91435022512556e-05,3.81531732891287e-05,1.90757343212539e-05,-9.21523663964571,7.95946591858332e-11,-3.35407183850187
0.068,-5.91435022512556e-05,3.81531687875054e-05,1.90757433249e-05,-9.21523663964642,8.51974019999702e-11,-3.3540718384999
0.072,-5.91435022512556e-05,3.81531642858801e-05,1.9075752328545e-05,-9.2152366396471,9.08371625474302e-11,-3.35407183849805
0.076,-5.91435022512556e-05,3.81531597842526e-05,1.9075761332189e-05,-9.21523663964773,9.65199289909568e-11,-3.35407183849631
0.08,-5.91435022512556e-05,3.81531552826229e-05,1.9075770335832e-05,-9.21523663964833,1.02231003112907e-10,-3.35407183849467
0.084,-5.91435022512556e-05,3.81531507809912e-05,1.90757793394738e-05,-9.21523663964888,1.07982361238768e-10,-3.35407183849315
0.088,-5.91435022512556e-05,3.81531462793573e-05,1.90757883431146e-05,-9.2152366396494,1.13774003368539e-10,-3.35407183849174
0.092,-5.91435022512556e-05,3.81531417777213e-05,1.90757973467543e-05,-9.21523663964986,1.19598852582614e-10,-3.35407183849044
0.096,-5.91435022512556e-05,3.81531372760832e-05,1.9075806350393e-05,-9.2152366396503,1.25461263908444e-10,-3.35407183848926
