0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.001,6.16638803539715e-05,-3.81532408132244e-05,-7.70670832607576e-06,6.93434871572306,1.63313529366604e-15,-6.93434871572305,-25.7866556364631,-17.5571569133735,40.8442149038761,1.56031424217601e-10,7.20035387103997e-11,2.16722188482646e-11,1475357.09093775,-4490424.87441313,4268183.36221263
0.002,0.001,6.16638803539715e-05,-3.81532412872704e-05,-7.70670597923818e-06,6.93434871572374,-1.38054370157903e-12,-6.93434871572237,-25.7866556364687,-17.5571569133668,40.8442149038751,7.84535694224876e-06,-2.38777364225354e-05,2.16722187583816e-11,1475357.09093776,-4490424.87441314,4268183.36221263
0.003,0.001,6.16638803539715e-05,-3.81532417613162e-05,-7.70670363240057e-06,6.93434871572441,-2.76598680903906e-12,-6.9343487157217,-25.7866556364739,-17.55715691336,40.8442149038737,1.56905543706788e-05,-4.77555459927715e-05,2.16722186597022e-11,1475357.09093777,-4490424.87441318,4268183.36221263
0.004,0.001,6.16638803539715e-05,-3.81532422353619e-05,-7.70670128556293e-06,6.93434871572506,-4.14816364591175e-12,-6.93434871572105,-25.7866556364787,-17.5571569133531,40.844214903872,2.35357483167141e-05,-7.16333567071692e-05,2.1672218574999e-11,1475357.09093779,-4490424.87441324,4268183.36221263
0.005,0.001,6.16638803539715e-05,-3.81532427094074e-05,-7.70669893872526e-06,6.9343487157257,-5.52761859062834e-12,-6.93434871572041,-25.7866556364829,-17.5571569133461,40.8442149038698,3.13809387803547e-05,-9.55111685657282e-05,2.16722184784372e-11,1475357.09093781,-4490424.87441332,4268183.36221263
0.006,0.001,6.16638803539715e-05,-3.81532431834528e-05,-7.70669659188756e-06,6.93434871572632,-6.90326288632637e-12,-6.93434871571979,-25.7866556364868,-17.557156913339,40.8442149038672,3.92261257616003e-05,-0.000119388981568448,2.16722183920398e-11,1475357.09093785,-4490424.87441343,4268183.36221263
0.007,0.001,6.16638803539715e-05,-3.8153243657498e-05,-7.70669424504984e-06,6.93434871572692,-8.27781842516195e-12,-6.93434871571919,-25.7866556364901,-17.5571569133318,40.8442149038643,4.70713092604509e-05,-0.000143266795715328,2.16722182717612e-11,1475357.09093789,-4490424.87441356,4268183.36221263
0.008,0.001,6.16638803539715e-05,-3.81532441315431e-05,-7.70669189821208e-06,6.93434871572751,-9.65074082870387e-12,-6.9343487157186,-25.7866556364931,-17.5571569133246,40.8442149038611,5.49164892769063e-05,-0.000167144611006369,2.16722181853638e-11,1475357.09093794,-4490424.87441372,4268183.36221263
0.009,0.001,6.16638803539715e-05,-3.81532446055881e-05,-7.7066895513743e-06,6.93434871572808,-1.10220300969521e-11,-6.93434871571803,-25.7866556364956,-17.5571569133172,40.8442149038573,6.27616658109664e-05,-0.000191022427441569,2.16722180667792e-11,1475357.090938,-4490424.8744139,4268183.36221263
0.01,0.001,6.16638803539715e-05,-3.81532450796329e-05,-7.70668720453648e-06,6.93434871572864,-1.23911418514755e-11,-6.93434871571747,-25.7866556364977,-17.5571569133097,40.8442149038533,7.06068388626312e-05,-0.000214900245020929,2.16722179617471e-11,1475357.09093807,-4490424.8744141,4268183.36221263
0.011,0.001,6.16638803539715e-05,-3.81532455536776e-05,-7.70668485769864e-06,6.93434871572917,-1.37558985785491e-11,-6.93434871571694,-25.7866556364993,-17.5571569133022,40.8442149038488,7.84520084319003e-05,-0.000238778063744447,2.16722178804319e-11,1475357.09093814,-4490424.87441433,4268183.36221263
0.012,0.001,6.16638803539715e-05,-3.81532460277221e-05,-7.70668251086077e-06,6.9343487157297,-1.51222884409163e-11,-6.93434871571641,-25.7866556365005,-17.5571569132945,40.8442149038441,8.62971745187738e-05,-0.000262655883612124,2.16722177720117e-11,1475357.09093823,-4490424.87441458,4268183.36221263
0.013,0.001,6.16638803539715e-05,-3.81532465017665e-05,-7.70668016402286e-06,6.9343487157302,-1.64837788974026e-11,-6.93434871571591,-25.7866556365013,-17.5571569132868,40.8442149038389,9.41423371232515e-05,-0.00028653370462396,2.16722177042491e-11,1475357.09093832,-4490424.87441485,4268183.36221263
0.014,0.001,6.16638803539715e-05,-3.81532469758107e-05,-7.70667781718493e-06,6.93434871573069,-1.7843091840164e-11,-6.93434871571542,-25.7866556365015,-17.557156913279,40.8442149038333,0.000101987496245333,-0.000310411526779953,2.16722176161577e-11,1475357.09093841,-4490424.87441515,4268183.36221263
0.015,0.001,6.16638803539715e-05,-3.81532474498548e-05,-7.70667547034697e-06,6.93434871573117,-1.92013160260629e-11,-6.93434871571495,-25.7866556365015,-17.557156913271,40.8442149038274,0.000109832651885019,-0.000334289350080103,2.167221752129e-11,1475357.09093852,-4490424.87441547,4268183.36221263
0.016,0.001,6.16638803539715e-05,-3.81532479238987e-05,-7.70667312350898e-06,6.93434871573163,-2.05584514550994e-11,-6.93434871571449,-25.7866556365008,-17.557156913263,40.844214903821,0.000117677804042309,-0.000358167174524411,2.16722174264223e-11,1475357.09093863,-4490424.87441582,4268183.36221263
0.017,0.001,6.16638803539715e-05,-3.81532483979425e-05,-7.70667077667097e-06,6.93434871573206,-2.19101430998236e-11,-6.93434871571405,-25.7866556364998,-17.5571569132549,40.8442149038143,0.000125522952717202,-0.000382045000112875,2.16722173789884e-11,1475357.09093876,-4490424.87441619,4268183.36221263
0.018,0.001,6.16638803539715e-05,-3.81532488719862e-05,-7.70666842983292e-06,6.93434871573249,-2.32612903661167e-11,-6.93434871571363,-25.7866556364983,-17.5571569132467,40.8442149038072,0.000133368097909699,-0.000405922826845496,2.16722172434632e-11,1475357.09093888,-4490424.87441658,4268183.36221263
0.019,0.001,6.16638803539715e-05,-3.81532493460297e-05,-7.70666608299484e-06,6.9343487157329,-2.46129820108409e-11,-6.93434871571322,-25.7866556364964,-17.5571569132383,40.8442149037997,0.000141213239619799,-0.000429800654722273,2.16722171350429e-11,1475357.09093902,-4490424.874417,4268183.36221263
0.02,0.001,6.16638803539715e-05,-3.81532498200731e-05,-7.70666373615673e-06,6.93434871573329,-2.59581411143905e-11,-6.93434871571282,-25.786655636494,-17.5571569132299,40.8442149037919,0.000149058377847503,-0.000453678483743205,2.16722170537278e-11,1475357.09093917,-4490424.87441744,4268183.36221263
0.021,0.001,6.16638803539715e-05,-3.81532502941163e-05,-7.7066613893186e-06,6.93434871573366,-2.73033002179401e-11,-6.93434871571245,-25.7866556364912,-17.5571569132214,40.8442149037836,0.00015690351259281,-0.000477556313908292,2.16722169520838e-11,1475357.09093932,-4490424.87441791,4268183.36221263
0.022,0.001,6.16638803539715e-05,-3.81532507681594e-05,-7.70665904248044e-06,6.93434871573402,-2.86451930509024e-11,-6.93434871571209,-25.7866556364879,-17.5571569132129,40.844214903775,0.00016474864385572,-0.000501434145217534,2.16722168843212e-11,1475357.09093948,-4490424.8744184,4268183.36221263
